file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_100_grid3.cif,2.3481851142282952,2.4455685161815475,2.3908296908151607,2.3948321657661658,5,4,7,7,23,2.333137078413946,2.9678618352499484,2.076588259162865,2.2801630739909102,7,8,10,12,37,2.3615193635100433,2.590153664183008,2.4008472087347226,2.3359801806104863,1,4,6,10,21
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_100_grid5.cif,2.402771149318705,2.8490834252925814,1.8970792889177601,2.470871567314615,6,5,4,10,25,2.4418254624713454,2.584065518710239,2.0861343231590586,2.003505723276749,4,4,4,14,26,2.3189779082498942,2.590153664183008,2.3199571630958427,2.6436358668206674,4,4,8,5,21
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_200_grid3.cif,2.2398096498071265,2.441763413532365,2.4665424072566973,2.3987968012654943,8,4,8,7,27,2.2639409497182954,2.8078546060352343,2.1663531893696253,2.308410365791132,8,8,12,10,38,2.3177150720924224,2.590153664183008,2.6185019851617715,2.2129897085631227,2,4,2,11,19
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_220_grid0.cif,2.345969910127474,2.4740586121937382,2.4119922303731336,2.4480211163560632,9,10,16,14,49,2.290000767828113,3.013963244131987,2.617782219605606,2.2316032557035195,6,2,4,2,14,2.1290898795161217,2.9074787474867345,3.0,1.7430291412489005,8,3,0,7,18
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_220_grid3.cif,2.3020910623003514,2.441763413532365,2.352032565213841,2.453285009881028,7,4,8,6,25,2.2639409497182954,2.9678618352499484,2.08394215492571,2.2801630739909102,8,8,10,12,38,2.3615193635100433,2.590153664183008,2.3786058894300153,2.3359801806104863,1,4,5,10,20
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_220_grid5.cif,2.3481851142282952,2.441763413532365,2.352032565213841,2.453285009881028,5,4,8,6,23,2.2639409497182954,2.9678618352499484,2.08394215492571,2.2801630739909102,8,8,10,12,38,2.3615193635100433,2.590153664183008,2.3786058894300153,2.3359801806104863,1,4,5,10,20
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_260_grid3.cif,2.3807781905749184,2.618346759233634,2.442595550040123,2.39732963191464,7,5,6,7,25,2.4306592936157543,2.9036965550132883,1.9528084930114897,2.1375293841500165,5,8,9,12,34,2.3189779082498942,2.590153664183008,2.467766380463294,2.604969769865425,4,4,8,7,23
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_260_grid5.cif,2.3807781905749184,2.8490834252925814,2.625010590978281,2.461536677880077,7,5,4,13,29,2.4418254624713454,2.7303879564157527,2.083633578791416,1.9757102667388426,4,5,5,13,27,2.3189779082498942,2.590153664183008,2.3199571630958427,2.6436358668206674,4,4,8,5,21
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_280_grid3.cif,2.402771149318705,2.8490834252925814,2.4464885838004284,2.4257522532918148,6,5,4,11,26,2.4418254624713454,2.7303879564157527,2.083633578791416,1.9757102667388426,4,5,5,13,27,2.3189779082498942,2.590153664183008,2.3199571630958427,2.6436358668206674,4,4,8,5,21
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_280_grid5.cif,2.4478106491733094,2.8863412847820706,1.8266559168068097,2.410376785548999,4,4,4,6,18,2.3877259001000777,2.584065518710239,2.0227603908477447,2.159027267829502,8,4,4,8,24,2.043143119354271,2.694708956460245,2.1440850236380506,2.3642057441403135,1,3,5,2,11
