Relative_Path,Axis,COM_Before_X,COM_Before_Y,COM_Before_Z,Shift_X,Shift_Y,Shift_Z,COM_After_X,COM_After_Y,COM_After_Z
r0\t0\t0_120.cif,1,9.133616609936462,5.012004858442436,8.335969816072875,0.0,-5.012004858442436,0.0,9.58506208786094,9.01998193812,8.335969816072875
r0\t0\t0_0.cif,1,9.073496878882091,4.948755953355749,8.722642626715983,0.0,-4.948755953355749,0.0,9.55902108673347,9.803558826404037,8.722642626715983
r0\t0\t0_180.cif,1,9.369212476224655,4.825243769478932,9.514740004310518,0.0,-4.825243769478932,0.0,9.896710782124275,9.959813347878281,9.514740004310518
r0\t0\t0_160.cif,1,9.260654951717308,4.881080974222897,9.241198596185118,0.0,-4.881080974222897,0.0,9.744027198538655,8.905805250541672,9.241198596185118
r0\t0\t0_100.cif,1,8.783768333656123,4.929436160504084,8.262515917628306,0.0,-4.929436160504084,0.0,9.312883374603345,8.893339155170409,8.262515917628306
r0\t0\t0_140.cif,1,9.286476905010499,5.014703704358344,8.746530313384703,0.0,-5.014703704358344,0.0,9.861781591495872,9.93901391493788,8.746530313384703
r0\t0\t0_20.cif,1,9.207775591524044,5.188038510366444,8.784862110628582,0.0,-5.188038510366444,0.0,9.958445531532698,11.16088337453294,8.784862110628582
r0\t0\t0_200.cif,1,9.389732736625273,4.723528023930791,9.676821438996315,0.0,-4.723528023930791,0.0,9.892860014193193,9.476307176675643,9.676821438996315
r0\t0\t0_220.cif,1,10.520473775788282,4.94427986115686,8.857063438522621,0.0,-4.94427986115686,0.0,10.707644640612035,8.158109338400683,8.857063438522621
r0\t0\t0_240.cif,1,11.074189815072376,5.662435723503938,8.121193232416633,0.0,-5.662435723503938,0.0,11.382764825713572,10.940549430672254,8.121193232416633
r0\t0\t0_280.cif,1,9.138085023348744,5.05616992811158,8.507728787584401,0.0,-5.05616992811158,0.0,9.593212827567394,9.081267572938373,8.507728787584401
r0\t0\t0_260.cif,1,9.40038171293747,4.804339275886433,8.577345516841417,0.0,-4.804339275886433,0.0,9.762430408456568,7.523890408439247,8.577345516841417
r0\t0\t0_320.cif,1,9.250145884316911,4.855997728894845,8.451333555914852,0.0,-4.855997728894845,0.0,9.616296453929827,8.479503403626703,8.451333555914852
r0\t0\t0_300.cif,1,9.162800766091095,4.998865708229221,8.507884968147486,0.0,-4.998865708229221,0.0,9.588665262364316,8.367764954185509,8.507884968147486
r0\t0\t0_80.cif,1,8.860059102282367,5.335309978866771,8.416455865619866,0.0,-5.335309978866771,0.0,9.825949683948963,10.743397372164264,8.416455865619866
r0\t0\t0_40.cif,1,9.151409638546458,4.862752092786094,9.103949267750684,0.0,-4.862752092786094,0.0,9.824353464085165,9.33341863068885,9.103949267750684
r0\t1.2\t1.2_100.cif,1,9.242075426256607,4.428730586100992,8.413788024023358,0.0,-4.428730586100992,0.0,9.018254441371246,5.541389974745518,8.413788024023358
r0\t0\t0_340.cif,1,9.36223894761758,4.909739234195309,8.567009553123953,0.0,-4.909739234195309,0.0,10.0359289591228,9.94852213257366,8.567009553123953
r0\t0\t0_60.cif,1,9.180593465361355,4.880490205566851,8.943744712434919,0.0,-4.880490205566851,0.0,9.749043460692754,8.946039744396357,8.943744712434919
r0\t1.2\t1.2_0.cif,1,8.954770962137337,4.888216974094231,9.002088232826761,0.0,-4.888216974094231,0.0,9.322762850126034,10.253680210804818,9.002088232826761
r0\t1.2\t1.2_140.cif,1,9.232769014743843,5.191713535015921,8.550005615005384,0.0,-5.191713535015921,0.0,9.489862577965411,10.361936309070641,8.550005615005384
r0\t1.2\t1.2_180.cif,1,9.257160927564849,4.812507979917774,9.493624357739938,0.0,-4.812507979917774,0.0,9.332030417318268,9.249668509076237,9.493624357739938
r0\t1.2\t1.2_120.cif,1,9.001044887369671,4.879132733682429,8.371896518116953,0.0,-4.879132733682429,0.0,9.010182756887492,8.487486828991447,8.371896518116953
r0\t1.2\t1.2_220.cif,1,9.752171738466142,4.81290540468245,9.014980303927967,0.0,-4.81290540468245,0.0,9.68440982495217,7.878726333915534,9.014980303927967
r0\t1.2\t1.2_160.cif,1,9.157203127301043,4.9525050671985715,9.119980858374717,0.0,-4.9525050671985715,0.0,9.276452033207553,9.023484739947504,9.119980858374717
r0\t1.2\t1.2_20.cif,1,9.087130635887345,4.882727550516438,9.291705950893942,0.0,-4.882727550516438,0.0,9.18422166645442,10.181719069396989,9.291705950893942
r0\t1.2\t1.2_200.cif,1,9.340607662105153,4.889282837837081,9.555363020273576,0.0,-4.889282837837081,0.0,9.465957761154208,10.536302479004917,9.555363020273576
r0\t1.2\t1.2_260.cif,1,10.011416825245067,5.650733423642437,8.123344527423349,0.0,-5.650733423642437,0.0,10.233719235244642,11.205442335914547,8.123344527423349
r0\t1.2\t1.2_280.cif,1,9.276517472214602,5.172297106802852,8.470380351630261,0.0,-5.172297106802852,0.0,9.739764172696649,9.468284436047263,8.470380351630261
r0\t1.2\t1.2_340.cif,1,8.722121524372547,5.011388511411326,8.713739844782417,0.0,-5.011388511411326,0.0,9.375918121388855,10.63659768000282,8.713739844782417
r0\t1.2\t1.2_240.cif,1,10.145337839465304,5.500350962185252,8.308017054734913,0.0,-5.500350962185252,0.0,10.267008110645826,10.513116291275672,8.308017054734913
r0\t1.2\t1.2_320.cif,1,8.924791046960141,5.043504190034872,8.490548023967131,0.0,-5.043504190034872,0.0,9.496686913834974,9.894440078777873,8.490548023967131
r0\t1.2\t1.2_40.cif,1,8.947183637602754,4.6911836103215645,9.417464918679629,0.0,-4.6911836103215645,0.0,9.287544887013146,8.772915257200372,9.417464918679629
r0\t2.4\t2.4_100.cif,1,9.627742941892967,4.4630262432307966,8.493736274740932,0.0,-4.4630262432307966,0.0,9.84882997924857,5.838994250177325,8.493736274740932
r0\t1.2\t1.2_300.cif,1,9.17699294397473,5.03831638945409,8.483399497299171,0.0,-5.03831638945409,0.0,9.599632416229571,8.385068654009885,8.483399497299171
r0\t2.4\t2.4_0.cif,1,9.038579671447886,4.73887771338292,9.222689844080444,0.0,-4.73887771338292,0.0,9.311202874287666,9.21757200637311,9.222689844080444
r0\t1.2\t1.2_80.cif,1,9.249007465820732,4.87016286099194,8.978998602105364,0.0,-4.87016286099194,0.0,9.691761443080859,9.83710470303189,8.978998602105364
r0\t2.4\t2.4_120.cif,1,9.437664200308493,4.958399191600923,8.39054170029747,0.0,-4.958399191600923,0.0,9.662636145647662,8.246836553718882,8.39054170029747
r0\t1.2\t1.2_60.cif,1,8.959580073915728,4.625255668073456,9.076377792429751,0.0,-4.625255668073456,0.0,9.24649007056799,7.861640534639559,9.076377792429751
r0\t2.4\t2.4_140.cif,1,9.223494329724232,5.249054025395625,8.467171380705306,0.0,-5.249054025395625,0.0,9.738421032571933,10.280353845459127,8.467171380705306
r0\t2.4\t2.4_180.cif,1,9.30387993969454,4.801338774896226,9.44911827701196,0.0,-4.801338774896226,0.0,9.643349819735947,9.296939948255249,9.44911827701196
