file_path,avg_HH_dist,avg_OO_dist,avg_OH_dist,avg_HO_dist,count_HH,count_OO,count_OH,count_HO,sum_of_count,file_id,r_bottom,displacement,r_upper,adjusted_energy
d:\New folder\project\data\r0\t0\t0_0.cif,2.47833803310231,3.0,2.4690716723521597,2.1794232253191694,2,0,2,2,6,r0_t0_t0_0.cif,0,0.0,0,0.1302100000000337
d:\New folder\project\data\r0\t0\t0_100.cif,2.4343591039912784,3.1261697846114016,3.0,2.4478934590140167,2,1,0,2,5,r0_t0_t0_100.cif,0,0.0,100,0.4382600000000138
d:\New folder\project\data\r0\t0\t0_120.cif,2.2740891870152757,3.0,3.0,2.424822925764608,4,0,0,2,6,r0_t0_t0_120.cif,0,0.0,120,0.3977200000000493
d:\New folder\project\data\r0\t0\t0_140.cif,2.002764946924082,3.0,3.0,3.0,2,0,0,0,2,r0_t0_t0_140.cif,0,0.0,140,0.4828400000000101
d:\New folder\project\data\r0\t0\t0_160.cif,2.1418745115583264,3.0,3.0,3.0,2,0,0,0,2,r0_t0_t0_160.cif,0,0.0,160,0.5602300000000469
d:\New folder\project\data\r0\t0\t0_180.cif,2.4914295479022632,3.0,3.0,3.0,1,0,0,0,1,r0_t0_t0_180.cif,0,0.0,180,0.5951600000000781
d:\New folder\project\data\r0\t0\t0_20.cif,2.459655020628003,3.0,3.0,2.5816164917751805,2,0,0,4,6,r0_t0_t0_20.cif,0,0.0,20,0.1886100000000397
d:\New folder\project\data\r0\t0\t0_200.cif,2.126116355919904,3.0,3.0,3.0,2,0,0,0,2,r0_t0_t0_200.cif,0,0.0,200,0.7338000000000875
d:\New folder\project\data\r0\t0\t0_220.cif,3.0,3.0,2.3211851122325564,3.0,0,0,2,0,2,r0_t0_t0_220.cif,0,0.0,220,0.4083800000000792
d:\New folder\project\data\r0\t0\t0_240.cif,2.3116306024013946,2.9044905343512735,2.5545043820656184,2.1726793826220274,2,2,4,2,10,r0_t0_t0_240.cif,0,0.0,240,-0.0011700000000018
d:\New folder\project\data\r0\t0\t0_260.cif,1.9380381255963703,3.0,3.0,3.0,2,0,0,0,2,r0_t0_t0_260.cif,0,0.0,260,0.5191200000000435
d:\New folder\project\data\r0\t0\t0_280.cif,2.424956130379534,3.0,3.0,3.0,6,0,0,0,6,r0_t0_t0_280.cif,0,0.0,280,0.4326399999999921
d:\New folder\project\data\r0\t0\t0_300.cif,2.128065908301175,3.0,3.0,3.0,2,0,0,0,2,r0_t0_t0_300.cif,0,0.0,300,0.3574800000000095
d:\New folder\project\data\r0\t0\t0_320.cif,2.16299563794198,3.0,2.4988464054527544,3.0,2,0,2,0,4,r0_t0_t0_320.cif,0,0.0,320,0.2930600000000822
d:\New folder\project\data\r0\t0\t0_340.cif,2.422630816419484,3.0,2.3928522416173212,2.4393773793096383,2,0,2,2,6,r0_t0_t0_340.cif,0,0.0,340,0.2363500000000158
d:\New folder\project\data\r0\t0\t0_40.cif,3.0,3.0,3.0,2.2087854383802297,0,0,0,2,2,r0_t0_t0_40.cif,0,0.0,40,0.4358600000000479
d:\New folder\project\data\r0\t0\t0_60.cif,3.0,3.0,3.0,2.348723856708193,0,0,0,2,2,r0_t0_t0_60.cif,0,0.0,60,0.5180800000000545
d:\New folder\project\data\r0\t0\t0_80.cif,3.0,3.019607865744899,3.0,2.5512551928207547,0,2,0,2,4,r0_t0_t0_80.cif,0,0.0,80,0.5338800000000674
d:\New folder\project\data\r0\t1.2\t1.2_0.cif,3.0,3.0,3.0,2.275639919775794,0,0,0,2,2,r0_t1.2_t1.2_0.cif,0,1.2,0,0.2805000000000746
d:\New folder\project\data\r0\t1.2\t1.2_100.cif,2.203878742975739,3.051402000241522,3.0,3.0,2,2,0,0,4,r0_t1.2_t1.2_100.cif,0,1.2,100,0.5373600000000351
