file_path,L_M_avg_HH_dist,L_M_avg_OO_dist,L_M_avg_OH_dist,L_M_avg_HO_dist,L_M_count_HH,L_M_count_OO,L_M_count_OH,L_M_count_HO,L_M_sum_of_count,M_U_avg_HH_dist,M_U_avg_OO_dist,M_U_avg_OH_dist,M_U_avg_HO_dist,M_U_count_HH,M_U_count_OO,M_U_count_OH,M_U_count_HO,M_U_sum_of_count
d:\New folder\project\results\3_layer\lower\r0\t1.2\t1.2_320_grid1.cif,2.3829068477891893,2.6118731890367815,2.2569960415481627,2.3925681926957907,7,5,4,7,23,2.4247297081315966,2.261805048152759,2.2755930568542677,2.049850450810115,1,4,4,10,19
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_80_grid0.cif,2.3517237388607044,2.768675240838785,1.800385126427488,2.395797717180843,10,10,14,16,50,2.2575590550853204,3.031354106607032,2.5745208488456415,2.2640007170683782,4,2,4,2,12
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_80_grid2.cif,2.336774536453618,2.9468148218805927,2.324761708544774,2.382820011505739,7,8,12,8,35,2.134980744851739,2.9847423961775457,2.5122237433851424,2.204643735408838,7,2,7,4,20
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_220_grid0.cif,2.290458626108438,2.626194349228981,2.2916286263372414,2.333699314511913,7,6,8,9,30,2.33519888155551,2.968737916517526,2.404773930125287,2.178486102199017,8,9,7,7,31
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_220_grid1.cif,2.3708207966693435,2.6103254780860374,2.2636956524755343,2.3905482834562415,6,5,4,7,22,2.4527793051776086,2.7905142638843077,2.1607196532751045,2.158844272591175,5,8,10,7,30
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_220_grid2.cif,2.3170256796192943,2.4419297475503803,2.196333755349185,2.4531975502097123,7,4,6,6,23,2.4432386463344886,2.814999552316686,2.1593209579352717,2.2214681249347192,5,8,12,8,33
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_280_grid0.cif,2.3886274626874604,2.8306551416238994,2.0281386838228963,2.5312167090955735,5,5,3,11,24,2.444901375782428,2.839782315319923,2.0557439627561203,2.2104124910944627,8,6,6,7,27
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_280_grid1.cif,2.460903111440667,2.847205092279215,2.021878451534814,2.5647497082602984,4,5,5,8,22,2.450952855937242,2.581768598780674,2.08607248030094,1.976180497242062,4,4,4,14,26
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_280_grid2.cif,2.3341988391360915,2.9127774403399114,2.2129442538729616,1.9247015275984771,8,5,11,10,34,2.103897226045837,2.9870151442573345,2.0731691707953877,2.6320218961144315,9,4,9,2,24
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_320_grid0.cif,2.4058763113544304,2.8040705232618177,1.9699431927937527,2.4080373594861384,14,12,7,22,55,2.252571816528286,3.031354106607032,2.5745208488456415,2.2640007170683782,6,2,4,2,14
d:\New folder\project\results\3_layer\lower\r0\t4.8\t4.8_340_grid2.cif,2.4355951712790995,2.7585355236504756,2.1998246382524154,2.3904980466082164,6,9,10,16,41,2.2875921474860896,2.939388267421839,1.7909647172112457,2.3419081382097118,10,5,10,4,29
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_80_grid2.cif,2.288151545490599,2.9241929433579466,2.1449408785760435,2.4511772148444537,8,7,12,8,35,2.4318596546754536,3.0,2.6994963827112133,2.4906886588860386,4,0,4,2,10
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_80_grid3.cif,2.280215980220949,2.9447328857927553,2.1224717019965786,2.4103767855489977,8,7,13,6,34,2.294612355186315,3.022674994035728,2.5743129904747715,2.232529346334019,8,5,2,10,25
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_220_grid0.cif,2.303376077464637,2.5565944358012973,2.366855694954568,2.4831991951257435,10,12,18,11,51,2.4368712192229967,3.0,2.3071669029325217,3.0,9,0,7,0,16
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_220_grid1.cif,2.2448991723291183,2.442109877012191,2.4767380773548204,2.356119000194822,9,4,8,8,29,2.4588353030174503,2.7045484277004,2.354479940272712,2.378887377040997,7,8,5,13,33
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_220_grid2.cif,2.3481851142282912,2.441763413532366,2.3520325652138374,2.4532850098810264,5,4,8,6,23,2.263940949718295,2.8878243389821225,2.128823252366386,2.2916767736801873,8,8,11,11,38
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_280_grid0.cif,2.3263006137518674,2.705366266832769,2.317305159229159,2.219960243912439,7,8,4,23,42,2.4318596546754536,3.0,2.6994963827112133,2.4906886588860386,4,0,4,2,10
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_280_grid2.cif,2.3794515614190006,2.9267986019679837,2.206379302430065,1.9388479877115792,4,7,10,11,32,2.430902829413324,2.968622656653345,2.3217418357282438,2.5061485600044335,6,2,7,1,16
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_280_grid3.cif,2.3720614271482847,2.922490454378918,2.2380296564651756,2.1710233373211807,10,6,13,8,37,2.2188112282368206,3.0139219275803946,2.3898390258861317,2.403887255295392,11,7,5,8,31
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_340_grid1.cif,2.31946169259269,2.574244469450884,2.471065147092348,2.3689634698001316,12,9,15,15,51,2.290000767828113,3.013963244131995,2.6177822196056098,2.2316032557035292,6,2,4,2,14
d:\New folder\project\results\3_layer\lower\r0\t6.0\t6.0_340_grid3.cif,2.4355485596954427,2.7821887894946626,2.1422012207062098,2.3914226892979626,6,10,9,15,40,2.3673840347404633,2.966998885544088,2.0519924118841466,2.4471383214393825,8,9,14,4,35
d:\New folder\project\results\3_layer\lower\r0\t7.2\t7.2_80_grid1.cif,2.2602504234340475,2.4384193574279776,2.3386904291796333,2.3950120042582577,6,4,6,7,23,2.2547669860055635,2.975227725452612,2.2301039262759472,2.029538382011756,8,7,14,2,31
d:\New folder\project\results\3_layer\lower\r0\t7.2\t7.2_220_grid0.cif,2.2747121235766055,2.554078975717799,2.182586829519804,2.429191960291704,10,12,14,9,45,2.1768430871359734,3.040381371951521,2.4735257349673763,2.1271246397398653,5,5,5,6,21
d:\New folder\project\results\3_layer\lower\r0\t7.2\t7.2_320_grid1.cif,2.4023547661334343,2.6186688651935075,2.302231326729834,2.28545010007604,2,6,4,11,23,2.244856551822035,2.975227725452612,2.4336492262024465,2.420376476509144,10,7,10,4,31
d:\New folder\project\results\3_layer\lower\r20\t1.2\t1.2_220_grid3.cif,2.406263051834458,2.6304817881266804,2.154239122884251,2.415089818662742,8,6,8,7,29,1.9030679865239009,2.7412648207041688,2.009685499016407,2.220500415061468,3,9,11,6,29
d:\New folder\project\results\3_layer\lower\r20\t2.4\t2.4_220_grid0.cif,2.3557605253213874,2.621816105138691,2.286086816421916,2.331890186666342,5,6,8,11,30,2.0298129839312233,2.9091071361432843,1.9667104339042891,1.727793851372858,5,4,12,3,24
d:\New folder\project\results\3_layer\lower\r20\t2.4\t2.4_280_grid2.cif,2.392000151911848,2.7484511850307793,2.377221179357604,2.276811996309531,5,12,13,15,45,2.359786724456708,3.00291553104684,2.3094700587249712,2.3865097541173395,7,4,12,3,26
d:\New folder\project\results\3_layer\lower\r20\t2.4\t2.4_340_grid1.cif,2.4002318716275175,2.9069993320488035,2.6283258189620926,2.343324966249586,4,4,2,10,20,2.4433148090912398,3.006552047194689,3.0,2.0391978699994984,4,2,0,12,18
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_80_grid0.cif,2.249229420786728,2.6142235318406235,2.20531835398324,2.299116608400865,12,10,16,15,53,2.328147207206283,3.0,2.597422752199857,2.6815250856481407,6,0,4,2,12
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_80_grid1.cif,2.452847869659946,2.9893251341917404,2.630798033004168,2.4639622355492756,4,5,9,8,26,2.217939662210161,3.0071819796021098,2.137654377635922,2.217955664868414,9,4,10,11,34
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_220_grid0.cif,2.3194986461163656,2.6172130970802914,2.4097759038382973,2.4029498885135383,12,13,16,15,56,2.328147207206283,3.0,2.597422752199857,2.6815250856481407,6,0,4,2,12
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_220_grid2.cif,2.3745549061732882,2.611907276833526,2.2174139000779687,2.510060564691364,10,10,15,11,46,2.2526492889528327,3.032289034759266,2.399905190129384,2.3793767777583557,6,3,4,6,19
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_280_grid2.cif,2.263100919690641,2.752568158196278,2.177874299593652,2.332840179405829,14,10,8,18,50,2.328147207206283,3.0,2.597422752199857,2.6815250856481407,6,0,4,2,12
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_280_grid3.cif,2.448922303317648,2.888551465476601,2.7223745749740442,2.3962588360161163,4,4,4,8,20,2.436923749469762,2.584642981042102,2.0138499004171866,2.1679060164812562,4,4,4,8,20
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_320_grid2.cif,2.3043772463125487,2.7645619935642567,2.2821077786767723,2.3503285484070506,9,11,10,20,50,2.328147207206283,3.0,2.597422752199857,2.6815250856481407,6,0,4,2,12
d:\New folder\project\results\3_layer\lower\r80\t1.2\t1.2_280_grid1.cif,2.17659508160491,2.9133891072182934,2.115246063407365,2.2471331485713852,10,15,14,22,61,2.282608933111775,2.9008293132379466,2.093983014560454,2.6155072664437466,2,2,2,4,10
